Query,Expected Ground Truth,System Generated Response,BLEU Score,ROUGE-L Score,Review Status
What is the capital of France?,I’m focused on Class 8 Science; try re-phrasing your question or asking something from your textbook.,"Pipeline Processing Error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-api*****here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0.0067,0.0702,Needs Alignment Review
Can you explain linear calculus?,I’m focused on Class 8 Science; try re-phrasing your question or asking something from your textbook.,"Pipeline Processing Error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-api*****here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0.0067,0.0702,Needs Alignment Review
Who painted the Mona Lisa?,I’m focused on Class 8 Science; try re-phrasing your question or asking something from your textbook.,"Pipeline Processing Error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-api*****here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0.0067,0.0702,Needs Alignment Review
What is the capital of Japan?,I’m focused on Class 8 Science; try re-phrasing your question or asking something from your textbook.,"Pipeline Processing Error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-api*****here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0.0067,0.0702,Needs Alignment Review
How does a car engine work?,I’m focused on Class 8 Science; try re-phrasing your question or asking something from your textbook.,"Pipeline Processing Error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-api*****here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0.0067,0.0702,Needs Alignment Review
What are the properties of synthetic fibres?,"They dry up quickly, are durable, less expensive, readily available and easy to maintain.","Pipeline Processing Error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-api*****here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0,0.0,Needs Alignment Review
What are chemical fertilizers?,"Fertilizers are chemical substances which are rich in a particular nutrient, produced in factories like urea and ammonium sulphate.","Pipeline Processing Error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-api*****here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0,0.0,Needs Alignment Review
Define ignition temperature.,The lowest temperature at which a substance catches fire is called its ignition temperature.,"Pipeline Processing Error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-api*****here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0.0067,0.0377,Needs Alignment Review
What are endangered animals?,Animals whose numbers are diminishing to a level that they might face extinction are known as endangered animals.,"Pipeline Processing Error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-api*****here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0,0.0,Needs Alignment Review
What is lateral inversion?,An effect where the left side of an object appears on the right side and the right side appears on the left side in a mirror.,"Pipeline Processing Error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-api*****here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0,0.0,Needs Alignment Review
